desigcomercial;numbicicletas;numdocasvacias;position;add_data;add_hora
206 - Av. Brasília / Doca de Alcântara;2;20;"{""coordinates"": [-9.175, 38.701], ""type"": ""Point""}";2019-07-30;15:07:34.
110 - Rua de Moscavide;5;13;"{""coordinates"": [-9.097068, 38.778466], ""type"": ""Point""}";2020-10-30;19:49:28.
208 - Cais das Pombas;11;11;"{""coordinates"": [-9.14373, 38.70523], ""type"": ""Point""}";2020-10-30;19:49:29.
415 - Av. Duque de Ávila / Av. Conde Valbom;2;18;"{""coordinates"": [-9.148443, 38.735188], ""type"": ""Point""}";2020-10-30;19:49:29.
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira;5;5;"{""coordinates"": [-9.152295, 38.737911], ""type"": ""Point""}";2020-10-30;19:49:29.
222 - Praça da Figueira;13;17;"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}";2020-10-30;19:49:29.
474 - Av. do Brasil / Av. Rio de Janeiro;4;12;"{""coordinates"": [-9.1409, 38.75832], ""type"": ""Point""}";2020-10-30;19:49:29.
421 - Alameda D. Afonso Henriques;8;12;"{""coordinates"": [-9.13416, 38.73736], ""type"": ""Point""}";2020-10-30;19:49:29.
108 - Rua do Bojador;2;12;"{""coordinates"": [-9.09235, 38.774289], ""type"": ""Point""}";2020-10-30;19:49:29.
472 - Rua Marquês Soveral / ES Padre António Vieira;1;13;"{""coordinates"": [-9.13608, 38.75784], ""type"": ""Point""}";2020-10-30;19:49:29.
476 - Av. Professor Gama Pinto / Reitoria;6;17;"{""coordinates"": [-9.15885, 38.75231], ""type"": ""Point""}";2020-10-30;19:49:28.
488 - Rua Fernando Namora / Rua António Quadros;5;15;"{""coordinates"": [-9.17526, 38.76014], ""type"": ""Point""}";2020-10-30;19:49:28.
471 - Rua Lopes de Mendonça / EB São João de Brito;0;10;"{""coordinates"": [-9.137337, 38.756487], ""type"": ""Point""}";2020-10-30;19:49:28.
407 - Praça Duque de Saldanha;1;16;"{""coordinates"": [-9.14446, 38.73434], ""type"": ""Point""}";2020-10-30;19:49:28.
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar;0;10;"{""coordinates"": [-9.15425, 38.73432], ""type"": ""Point""}";2020-10-30;19:49:27.
453 - Av. Roma / Av. EUA;2;12;"{""coordinates"": [-9.14207, 38.74873], ""type"": ""Point""}";2020-10-30;19:49:30.
207 - Av. Brasília / Santos {Rio};0;10;"{""coordinates"": [-9.151101, 38.705443], ""type"": ""Point""}";2020-04-15;14:19:12.
222 - Praça da Figueira;5;25;"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}";2020-09-24;10:32:47.
215 - Av. 24 de Julho;3;14;"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}";2020-09-24;10:32:43.
103-Jardim da Agua;2;18;"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}";2020-09-23;16:12:26.
463 - Campo Grande / Av. da Igreja;5;5;"{""coordinates"": [-9.14951, 38.75243], ""type"": ""Point""}";2020-10-30;19:49:27.
406 - Praça Duque de Saldanha;2;15;"{""coordinates"": [-9.145341, 38.734247], ""type"": ""Point""}";2020-10-30;19:49:27.
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo;0;16;"{""coordinates"": [-9.14742, 38.72894], ""type"": ""Point""}";2020-10-30;19:49:27.
