,source,target,maxspeed,name,length,tunnel,osmid,ref,width,bridge,railway,oneway,lanes,geometry,service
0,283560912,4675746867,90,Linha do Oeste,6443.441999999999,,"[25992944, 473542578, 473542579, 473542566]",,,yes,rail,False,,"LINESTRING (-9.1967937 38.9904128, -9.1966763 38.990687, -9.1965895 38.990865, -9.1963904 38.9911875, -9.1960936 38.9915564, -9.1957409 38.9918836, -9.1953571 38.9921742, -9.1943063 38.992848, -9.1939227 38.9931353, -9.1935878 38.9934326, -9.193276 38.9937768, -9.1929886 38.9941501, -9.1927309 38.9945496, -9.192538 38.9948815, -9.192397 38.9951889, -9.192396 38.9951911, -9.1922618 38.9955519, -9.1921645 38.9959277, -9.1919983 38.9969236, -9.1919406 38.9972216, -9.1918434 38.9975516, -9.1916737 38.9979602, -9.1915302 38.9982432, -9.1913385 38.9985388, -9.1911034 38.9988528, -9.1908667 38.9991067, -9.1905759 38.9993806, -9.1902139 38.9996624, -9.1898788 38.999889, -9.1895465 39.0000787, -9.1881077 39.0008533, -9.1878037 39.001045, -9.1877596 39.0010728, -9.1873895 39.0013442, -9.1870621 39.0016348, -9.1868747 39.0018367, -9.186676 39.0020508, -9.1837229 39.0057006, -9.1814201 39.0085371, -9.1812088 39.008869, -9.1811183 39.0090802, -9.1810014 39.0094121, -9.1809694 39.0095537, -9.1809373 39.0097472, -9.1809222 39.0099854, -9.180901 39.0111017, -9.1808317 39.0115093, -9.1807562 39.0117808, -9.1806355 39.0120222, -9.1804504 39.0123487, -9.1801956 39.0126719, -9.1798214 39.0130373, -9.1790102 39.0137436, -9.1786822 39.0140975, -9.1783644 39.0145698, -9.1781971 39.0149779, -9.1781153 39.0153135, -9.1780848 39.0156772, -9.1781006 39.0159883, -9.1781656 39.0164308, -9.1784831 39.0179163, -9.1792411 39.0214621, -9.1792981 39.0217823, -9.1793356 39.0221487, -9.1793435 39.0224335, -9.1793542 39.0226684, -9.1792948 39.0229176, -9.1792321 39.0231852, -9.1791864 39.0233269, -9.1790203 39.0237777, -9.1787788 39.0242863, -9.1782736 39.0252804, -9.1780894 39.0257537, -9.1779889 39.0261972, -9.1779463 39.0266664, -9.177946 39.0266945, -9.1779185 39.0295561, -9.177945 39.0300209, -9.178002 39.0303672, -9.178064 39.0306388, -9.1782407 39.0310453, -9.178415 39.0313549, -9.1786655 39.0316932, -9.1789327 39.0319878, -9.1792703 39.0322849, -9.1797236 39.0325914, -9.1801403 39.0328189, -9.1805571 39.0330022, -9.1816058 39.0333981, -9.1820574 39.0335892, -9.1826166 39.0338826, -9.1826939 39.0339362, -9.1829844 39.0341375, -9.1833875 39.034486, -9.1837036 39.0348425, -9.1839611 39.0352114, -9.1841958 39.0356438, -9.1848909 39.0371365, -9.185041 39.0375952, -9.1851242 39.0379365, -9.1851704 39.0382669, -9.1851939 39.0387171, -9.1851845 39.0391163, -9.185156 39.0395289, -9.1850988 39.0399094, -9.1849619 39.0407141, -9.1849073 39.0410532)",
1,283560912,4676294768,90,Linha do Oeste,394.07,,"[25985665, 473542542]",,,,rail,False,,"LINESTRING (-9.1967937 38.9904128, -9.1969809 38.9899895, -9.1970664 38.9897609, -9.1973578 38.9888781, -9.1974682 38.9885437, -9.1977795 38.987605, -9.197853 38.9873306, -9.1979297 38.9869837)",
2,283561160,4675746863,90,Linha do Oeste,54.612,,473460109,,,,rail,False,,,
3,283561160,4675746867,,Linha do Oeste,481.629,,473460089,,,,rail,False,,"LINESTRING (-9.1841659 39.0453284, -9.1844914 39.0443878, -9.1845799 39.0440514, -9.1848776 39.0423379, -9.1848977 39.0419275, -9.1849073 39.0410532)",
4,283561160,4675604345,90,"['Túnel de Cabaço', 'Túnel de Certã', 'Linha do Oeste', 'Túnel de Boiaca']",8365.927999999998,yes,"[473460113, 473460115, 473460121, 473460123, 473460134, 473460136, 473460140, 473460165, 473460167, 473460179, 473460181, 149957106, 25992947, 149957107, 25992949, 25992950, 25992951, 25992952, 25992953, 25992954]",,,yes,rail,False,,"LINESTRING (-9.1841659 39.0453284, -9.1840677 39.0459531, -9.1840366 39.0463486, -9.1840637 39.0467735, -9.1840992 39.0469878, -9.1841101 39.0470361, -9.1841777 39.0473353, -9.1842953 39.0477018, -9.1845012 39.0481337, -9.1847433 39.0485254, -9.184982 39.0488236, -9.1852952 39.0491707, -9.1856033 39.0494402, -9.186067 39.0497857, -9.1871956 39.0505177, -9.1878815 39.0509626, -9.188665 39.0514918, -9.1891512 39.0518671, -9.189703 39.0523807, -9.1900198 39.0526825, -9.1903216 39.0530144, -9.1905557 39.0533123, -9.1908798 39.0537386, -9.191091 39.0540705, -9.1922213 39.0561343, -9.1923691 39.0564042, -9.1930809 39.0577037, -9.1932394 39.0579938, -9.1937967 39.0590141, -9.1940854 39.0594751, -9.1943301 39.059808, -9.1945574 39.0600395, -9.194938 39.0603725, -9.1952799 39.060614, -9.1956189 39.0608217, -9.1960061 39.06101, -9.1964695 39.061188, -9.1971108 39.0613723, -9.1984626 39.061666, -9.199158 39.0618295, -9.1999623 39.0620818, -9.2005689 39.0623577, -9.2010923 39.0626423, -9.2020122 39.0632085, -9.2024726 39.0634918, -9.2028774 39.0637466, -9.2032292 39.0639717, -9.2034911 39.0641636, -9.2038649 39.0645034, -9.2041087 39.0647589, -9.2043859 39.0651131, -9.2045897 39.0654533, -9.2047507 39.0657968, -9.2048932 39.0662095, -9.2050589 39.0668542, -9.2052633 39.0675561, -9.2054296 39.0679536, -9.2055315 39.0681736, -9.205776 39.0685395, -9.2060211 39.068859, -9.2063322 39.0691837, -9.2068136 39.0696022, -9.2076004 39.0701663, -9.2078121 39.070314, -9.2081184 39.0705505, -9.208257 39.0706576, -9.208669 39.071033, -9.2089762 39.0713754, -9.2092138 39.0717047, -9.2094395 39.072069, -9.2095994 39.0723858, -9.2097804 39.0728369, -9.2098248 39.0729756, -9.2111614 39.0771505, -9.2113438 39.0776719, -9.2115266 39.0781023, -9.2117512 39.0785363, -9.2118803 39.0787705, -9.2119904 39.0789616, -9.2122977 39.0794951, -9.2126507 39.0799904, -9.2128597 39.0802125, -9.2130732 39.080428, -9.2133146 39.0806241, -9.2136465 39.0808655, -9.2139633 39.0810673, -9.2144491 39.0813191, -9.2149893 39.0815444, -9.2161433 39.0819549, -9.2172943 39.0822777, -9.2179293 39.0824232, -9.2188251 39.0825933, -9.2197236 39.0827248, -9.2206222 39.0828123, -9.2215281 39.0828601, -9.2216738 39.0828618, -9.2224665 39.082871, -9.2233934 39.0828594, -9.2237071 39.0828555, -9.2287671 39.0828136, -9.2295116 39.0827826, -9.2301393 39.0827405, -9.2314284 39.0826183, -9.2325015 39.0825298, -9.2330114 39.0825313, -9.2331584 39.0825449, -9.2334786 39.0825745, -9.2339549 39.0826633, -9.2344314 39.0827878, -9.234814 39.0829325, -9.2354329 39.0832153, -9.2356646 39.0833262, -9.2362412 39.0836044, -9.2365226 39.0837304, -9.2367184 39.083822, -9.2368778 39.0838805, -9.2370415 39.0839296, -9.2372233 39.0839893, -9.2374241 39.0840673, -9.2376066 39.0841512, -9.2379065 39.0842935, -9.2402492 39.0856341, -9.2409427 39.0859941, -9.2432256 39.0871353, -9.2457935 39.0884189, -9.2472227 39.0891357, -9.2498604 39.0904603)",
5,640514898,3640614974,,,200.133,,473441783,,,,rail,False,,"LINESTRING (-9.2191272 39.1379181, -9.2184265 39.1382211, -9.2171633 39.1388744)",
6,640514898,3640617640,90,Linha do Oeste,556.324,,"[473441784, 473441788]",,,,rail,False,,"LINESTRING (-9.2191272 39.1379181, -9.2182866 39.1383521, -9.2160421 39.1395108, -9.2153478 39.1398693, -9.2142771 39.1404314, -9.2137861 39.1407219)",
7,640514898,4675604346,90,Linha do Oeste,6589.740000000004,,"[26232672, 26232673, 473441766, 473441772, 473441773, 149957105, 95265145, 473441786, 473441787]",,,yes,rail,False,,"LINESTRING (-9.2191272 39.1379181, -9.2194323 39.1377665, -9.2196757 39.1376414, -9.2236494 39.1355719, -9.2241982 39.1352125, -9.2246968 39.1348234, -9.2251169 39.1344084, -9.2254908 39.13396, -9.2257794 39.1335221, -9.2260165 39.1330695, -9.226218 39.1325203, -9.2262962 39.1322401, -9.2263746 39.1319595, -9.2272469 39.128526, -9.2275434 39.12737, -9.2282075 39.1247718, -9.2284108 39.1241424, -9.2285759 39.1237623, -9.2287401 39.1234856, -9.2288081 39.1233711, -9.2290614 39.12303, -9.229359 39.1227026, -9.229786 39.1223273, -9.2301716 39.1220479, -9.2306678 39.1217567, -9.2322229 39.1209955, -9.2366015 39.1188927, -9.2372534 39.1186138, -9.2378532 39.118388, -9.2380554 39.1183136, -9.2388324 39.1180276, -9.2394174 39.1177642, -9.23987 39.1175023, -9.2403373 39.1171794, -9.2407202 39.1168502, -9.2410024 39.1165841, -9.2410759 39.116499, -9.2420329 39.1152429, -9.2424446 39.1147711, -9.2427991 39.1144433, -9.2432713 39.1141034, -9.2437486 39.1138384, -9.2443592 39.1135617, -9.2450043 39.1133522, -9.2455904 39.1132219, -9.2465826 39.1130778, -9.2468623 39.1130411, -9.2474008 39.1129704, -9.2482565 39.1127984, -9.2488193 39.1126054, -9.2494015 39.1123244, -9.249975 39.1119442, -9.2505322 39.1114888, -9.2530997 39.1092538, -9.2534797 39.1088994, -9.2536498 39.1086818, -9.253764 39.1085356, -9.2539836 39.1081959, -9.254166 39.1078467, -9.2542947 39.1075653, -9.2543845 39.1072646, -9.2544845 39.1068563, -9.254697 39.1059887, -9.2550325 39.1047512, -9.255162 39.1043029, -9.2553317 39.1039578, -9.2555115 39.1036358, -9.2556956 39.1033781, -9.2559375 39.1030893, -9.256222 39.1028133, -9.2567529 39.1023546, -9.2575881 39.101677, -9.2579267 39.1013558, -9.2582522 39.101016, -9.2584892 39.100698, -9.2587191 39.1003186, -9.2589279 39.0998893, -9.2590665 39.0994061, -9.2591325 39.0989392, -9.2591342 39.0988657, -9.259141 39.0985784, -9.2591014 39.0981553, -9.2590229 39.0977987, -9.2588562 39.0972674, -9.2583942 39.09609, -9.2583062 39.0958654, -9.2580839 39.0953459, -9.2579192 39.09505, -9.257775 39.0948332, -9.2575241 39.0945528, -9.2572383 39.094295, -9.2569718 39.0940987, -9.2566605 39.0938905, -9.256419 39.0937519, -9.256024 39.0935391)",
8,3059074867,3647596111,90,Linha do Oeste,29.555,,473423883,,,,rail,False,,,
9,3059074867,3647521387,90,Linha do Oeste,347.92799999999994,,"[473424027, 473424014]",,,,rail,False,,"LINESTRING (-9.1784181 39.1899037, -9.1782815 39.190045, -9.1780317 39.1903035, -9.1774719 39.1909061, -9.1771932 39.1912389, -9.1770066 39.191505, -9.1768399 39.1917854, -9.1767139 39.1920185, -9.1765632 39.1923283, -9.1764436 39.1926081)",
